n_qubits,num_iterations
10,1001
10,733
10,976
10,835
10,924
10,1001
10,1001
10,1001
10,1001
10,1001
10,894
10,1001
10,1001
10,1001
10,930
10,1001
10,1001
10,1001
10,1001
10,1001
4,367
4,449
4,335
4,332
4,394
4,381
4,281
4,423
4,409
4,328
4,406
4,373
4,375
4,362
4,373
4,405
4,376
4,368
4,350
4,374
6,570
6,773
6,683
6,645
6,672
6,653
6,542
6,734
6,812
6,596
6,691
6,545
6,542
6,709
6,607
6,515
6,706
6,626
6,587
6,594
8,774
8,801
8,944
8,863
8,631
8,694
8,891
8,738
8,657
8,750
8,1001
8,946
8,1001
8,952
8,872
8,1001
8,646
8,1001
8,1001
8,1001
